Үнэ,Дүүрэг,Талбай (м.кв),Ашиглалтад орсон,Барилгын давхар,Хэдэн давхарт,Цонхны тоо,Гараж
2.9 сая ₮,Баянгол,42,2016,10,4,3,Байгаа
2.5 сая ₮,Хан-Уул,82.77,2013,10,6,3,Байгаа
3 сая ₮,Хан-Уул,144,2015,6,1,6,Байгаа
122 сая ₮,Баянзүрх,48,2023,16,11,2,Байхгүй
160 сая ₮,Сүхбаатар,40,1989,9,3,2,Байхгүй
3 сая ₮,Хан-Уул,41,2013,10,6,1,Байхгүй
105 сая ₮,Баянзүрх,40.56,2015,9,4,2,Байхгүй
120 сая ₮,Сонгинохайрхан,40,1990,9,6,3,Байхгүй
140 сая ₮,Баянгол,40,1996,9,8,4,Байхгүй
1 сая ₮,Хан-Уул,41.5,2017,12,5,2,Байгаа
427 сая ₮,Хан-Уул,138,2010,10,10,7,Байгаа
200 сая ₮,Баянгол,40,1990,9,1,4,Байхгүй
80 сая ₮,Баянгол,25.5,2015,12,6,1,Байхгүй
120 сая ₮,Баянзүрх,45.15,2020,6,1,3,Байхгүй
2.5 сая ₮,Сүхбаатар,86,2007,5,4,4,Байгаа
350 сая ₮,Хан-Уул,103.9,2008,12,9,3,Байхгүй
3.2 сая ₮,Баянгол,60.6,2014,12,11,3,Байхгүй
250 сая ₮,Чингэлтэй,100,1980,5,1,3,Байхгүй
136 сая ₮,Сүхбаатар,45.45,2023,16,7,2,Байхгүй
1.3 сая ₮,Баянзүрх,49,2023,10,8,3,Байгаа
2.5 сая ₮,Хан-Уул,51,2023,12,6,2,Байхгүй
360 сая ₮,Баянзүрх,126,2015,14,8,4,Байхгүй
4.1 сая ₮,Баянзүрх,"110,58",2012,16,10,5,Байгаа
85 сая ₮,Налайх,48,2000,5,5,4,Байхгүй
104 сая ₮,Баянгол,45.66,2004,6,2,2,Байхгүй
1.5 сая ₮,Баянзүрх,45,2023,16,16,2,Байгаа
169 сая ₮,Сүхбаатар,54,1990,9,3,3,Байхгүй
2.5 сая ₮,Хан-Уул,114,2023,16,16,4,Байхгүй
211 сая ₮,Баянзүрх,"70,44",2023,23,11,3,Байхгүй
2.3 сая ₮,Сүхбаатар,68.01,2023,16,4,3,Байхгүй
144 сая ₮,Баянзүрх,52.7М2,2011,17,3,3,Байхгүй
80 сая ₮,Сонгинохайрхан,39,2014,4,4,2,Байхгүй
90 сая ₮,Сонгинохайрхан,"55,81",2009,5,1,1,Байхгүй
145 сая ₮,Баянгол,40мк,1996,9,8,3,Байхгүй
3.3 сая ₮,Баянгол,"50,52",2015,12,6,2,Байхгүй
2.1 сая ₮,Баянгол,65,1993,5,5,4,Байхгүй
150 сая ₮,Баянгол,75,1990,9,7,4,Байхгүй
129 сая ₮,Баянгол,55,2010,12,9,5,Байхгүй
112 сая ₮,Хан-Уул,45.32,2021,12,11,2,Байгаа
98 сая ₮,Хан-Уул,33,2015,9,9,1,Байхгүй
3.3 сая ₮,Баянзүрх,"46,27",2023,13,9,2,Байхгүй
3.3 сая ₮,Баянзүрх,"46,27",2023,13,9,2,Байхгүй
105 сая ₮,Баянгол,45.66,2004,6,2,2,Байхгүй
2.5 сая ₮,Баянзүрх,"58,98",2015,12,11,4,Байхгүй
140 сая ₮,Баянгол,54,2012,11,10,2,Байхгүй
120 сая ₮,Баянгол,45,2009,10,1,2,Байхгүй
2.6 сая ₮,Баянзүрх,35.74,2014,16,15,2,Байхгүй
2.2 сая ₮,Хан-Уул,94,2015,6,6,4,Байхгүй
1.5 сая ₮,Баянзүрх,"43,64",2023,16,9,2,Байгаа
98 сая ₮,Хан-Уул,33,2015,9,9,1,Байхгүй
1.9 сая ₮,Баянзүрх,53,2023,12,3,3,Байхгүй
125 сая ₮,Баянзүрх,42,1990,9,5,3,Байхгүй
2.5 сая ₮,Хан-Уул,59.87,2019,12,1,2,Байхгүй
7.5 сая ₮,Хан-Уул,"117,83",2021,23,13,5,Байхгүй
127 сая ₮,Сүхбаатар,"54,41",2015,12,8,4,Байхгүй
3.1 сая ₮,Хан-Уул,49,2018,13,9,2,Байхгүй
180 сая ₮,Хан-Уул,56.25,2015,9,3,2,Байхгүй
117 сая ₮,Сонгинохайрхан,49.52,2008,5,4,5,Байхгүй
175 сая ₮,Баянзүрх,"55,52",2007,15,11,3,Байхгүй
2.7 сая ₮,Сүхбаатар,90,1990,9,4,5,Байхгүй
2.5 сая ₮,Хан-Уул,75.85,2023,15,10,6,Байхгүй
1.7 сая ₮,Сонгинохайрхан,46.71,2015,9,3,3,Байхгүй
2.9 сая ₮,Баянзүрх,"57,1",2013,10,4,3,Байгаа
3.3 сая ₮,Баянзүрх,42.57,2023,15,9,2,Байхгүй
270 сая ₮,Хан-Уул,77,2022,16,4,3,Байхгүй
135 сая ₮,Баянзүрх,39,1980,5,1,2,Байхгүй
125 сая ₮,Баянгол,55,2011,12,12,5,Байхгүй
190 сая ₮,Баянзүрх,24,1980,9,8,3,Байхгүй
135 сая ₮,Сүхбаатар,16,1989,5,3,2,Байхгүй
140 сая ₮,Баянгол,29,1990,5,1,3,Байхгүй
148 сая ₮,Баянзүрх,53,2016,16,2,3,Байхгүй
220 сая ₮,Сүхбаатар,75,2014,9,8,4,Байхгүй
85 сая ₮,Баянзүрх,54,1990,5,3,3,Байхгүй
220 сая ₮,Хан-Уул,70.60,2022,3,2,4,Байхгүй
197 сая ₮,Баянзүрх,65.71,2023,16,2,4,Байхгүй
149 сая ₮,Хан-Уул,49.66,2023,16,9,2,Байхгүй
160 сая ₮,Хан-Уул,57.39,2023,16,5,2,Байхгүй
281 сая ₮,Баянзүрх,80.37,2023,16,6,4,Байхгүй
145 сая ₮,Баянгол,50,2010,5,4,2,Байгаа
145 сая ₮,Баянгол,50,2010,5,4,2,Байгаа
244 сая ₮,Хан-Уул,94,2015,10,9,5,Байхгүй
64 сая ₮,Сүхбаатар,20,2015,12,12,1,Байхгүй
2.9 сая ₮,Баянзүрх,103,2010,10,5,5,Байхгүй
146 сая ₮,Баянзүрх,54,2021,12,7,2,Байхгүй
145 сая ₮,Сүхбаатар,41,2010,9,9,2,Байхгүй
483 сая ₮,Хан-Уул,115,2019,5,1,3,Байхгүй
2.3 сая ₮,Баянгол,45.66,2004,6,2,2,Байхгүй
160 сая ₮,Баянзүрх,53.37 м.кв,2023,7,2,2,Байхгүй
135 сая ₮,Баянзүрх,51,2020,13,11,3,Байхгүй
185 сая ₮,Баянзүрх,57,2016,10,10,2,Байхгүй
130 сая ₮,Баянзүрх,49,2020,16,9,2,Байхгүй
195 сая ₮,Баянзүрх,58,2012,12,2,2,Байхгүй
2.7 сая ₮,Баянзүрх,43,2012,12,7,2,Байхгүй
370 сая ₮,Хан-Уул,150,2011,10,10,5,Байгаа
137 сая ₮,Баянгол,37.93,2022,14,2,2,Байхгүй
310 сая ₮,Хан-Уул,74.62,2017,10,9,4,Байхгүй
114 сая ₮,Сонгинохайрхан,43,2018,15,11,2,Байхгүй
170 сая ₮,Баянзүрх,56,2018,5,1,5,Байхгүй
170 сая ₮,Баянзүрх,56,2018,5,1,5,Байхгүй
2.5 сая ₮,Баянзүрх,33,2012,12,9,1,Байхгүй
84 сая ₮,Сонгинохайрхан,54,1994,4,1,3,Байхгүй
2.5 сая ₮,Баянгол,"60,18",2013,9,5,2,Байхгүй
165 сая ₮,Сонгинохайрхан,40,1987,9,6,4,Байхгүй
380 сая ₮,Чингэлтэй,88,2012,1,1,6,Байгаа
4 сая ₮,Баянзүрх,61,2015,16,1,3,Байхгүй
120 сая ₮,Баянзүрх,46,1985,5,3,3,Байхгүй
3.9 сая ₮,Баянгол,49,2014,12,6,1,Байхгүй
190 сая ₮,Баянзүрх,59,2010,11,10,4,Байхгүй
128 сая ₮,Баянзүрх,44.28,2022,5,4,2,Байхгүй
152 сая ₮,Чингэлтэй,55,2015,12,5,3,Байхгүй
125 сая ₮,Сонгинохайрхан,56,1999,11,11,6,Байхгүй
2.3 сая ₮,Баянзүрх,44,2008,5,2,3,Байхгүй
85 сая ₮,Сонгинохайрхан,54,1982,5,2,4,Байхгүй
2.5 сая ₮,Хан-Уул,52.27,2020,16,10,3,Байхгүй
351 сая ₮,Баянзүрх,120.89,2012,9,2,6,Байхгүй
2.4 сая ₮,Баянзүрх,72.14,2018,9,7,3,Байхгүй
150 сая ₮,Баянзүрх,60,2011,6,6,4,Байхгүй
97 сая ₮,Баянзүрх,30,2021,16,16,1,Байхгүй
3.3 сая ₮,Хан-Уул,84,2022,16,13,4,Байхгүй
30 сая ₮,Сонгинохайрхан,20,2018,5,1,1,Байхгүй
